Species,Group,Log10Mass,ABS-Latitude,ABS-Longitude,PC1,PC2,PC3,PC4
Lutrogale_perspicillata,3,3.949999056,17.85975929,94.62977214,-0.0098,-0.0108,-0.0203,0.0806
Martes_americana,3,2.941357365,55.14009075,131.693557,-0.0089,-0.0381,0.0506,0.0493
Martes_flavigula,3,3.398745312,16.21752588,102.8265521,-0.0255,-0.0394,0.0399,0.0112
Martes_foina,3,3.224014811,50.7265103,9.941158081,0.00248,-0.0427,0.051,-0.0102
Martes_martes,3,3.113940012,57.6298794,5.460985,-0.000276,-0.0337,0.0391,0.0149
Martes_melampus,3,3,37.57607067,139.1234813,0.00395,-0.0427,0.0257,0.039
Martes_pennanti,3,3.574031268,44.48317803,81.66034474,0.0241,-0.03245,0.0384,0.04545
Martes_zibellina,3,3.069634802,52.43250467,125.2302893,0.0608,-0.0558,0.033,0.0353
Mellivora_capensis,3,3.954242027,11.70240388,24.0783103,-0.041,-0.0872,-0.00813,0.0848
Melogale_moschata,3,2.972434277,24.38205167,108.4723196,-0.0572,-0.0238,-0.0391,-0.0316
Melogale_orientalis,3,3.176091259,5.625,89.18333333,-0.0278,0.0305,0.011,-0.00486
Melogale_personata,3,3.266057568,12.44216733,99.92475667,-0.0339,0.00766,-0.00463,-0.035
Mustela_africana,3,2.729958111,8.35367,72.62245,-0.0218,-0.0777,0.0519,0.0235
Mustela_altaica,3,2.255851179,44.00028211,110.9961174,0.00641,-0.048,0.0812,-0.0268
Mustela_erminea,3,2.454082271,56.2901558,0.5170722,0.0125,-0.0123,0.061,-0.0139
Mustela_eversmannii,3,3.226396242,41.74525143,66.17675286,0.00685,-0.0597,0.0136,0.011
Mustela_felipei,3,2.324899497,7.4436245,69.70518,-0.00198,-0.0494,0.0524,0.0106
Mustela_frenata,3,2.278822168,32.96287161,102.678105,0.00861,-0.053,0.0732,0.0308
Mustela_kathiah,3,2.421176002,25.028892,97.56000067,0.0119,-0.0724,0.0607,0.00872
Mustela_lutreola,3,2.668618845,42.68034211,2.216983158,-0.00496,-0.0696,0.0359,0.0532
Mustela_nigripes,3,2.957655167,39.41894,104.08803,-0.000245,-0.117,0.034,0.0425
Mustela_nivalis,3,1.894592948,52.8382232,13.3273142,-0.025,-0.064,0.0944,-0.0193
Mustela_nudipes,3,2.755432717,1.874911765,81.25531706,-0.0029,-0.0699,0.0667,0.0289
Mustela_putorius,3,2.989249533,54.10653763,7.539832887,-0.00264,-0.0909,0.0245,0.0286
Mustela_sibirica,3,2.724971822,34.65391649,106.6614319,-0.0326,-0.0906,0.0215,0.0364
Neovison_vison,3,2.913813852,56.6453348,0.2080576,-0.0359,-0.0683,0.0189,0.03
Poecilogale_albinucha,3,2.488776265,8.731425882,19.65907471,0.00585,-0.0687,-0.0127,0.00683
Pteronura_brasiliensis,3,4.414973348,11.45094063,60.07528089,-0.0202,-0.0271,0.00442,0.0691
Taxidea_taxus,3,3.894435145,34.74682702,106.9359631,-0.0173,-0.0369,-0.0123,0.0868
Vormela_peregusna,3,2.773881482,32.61834939,37.22988918,-0.0122,-0.0542,0.0234,0.0203
